,,23-V1s,23-V1d,23-V1p,23-V1e,23-V2s,23-V2d,23-V2p,23-V2e,23-V3s,23-V3d,23-V3p,23-V3e,23-V4s,23-V4d,23-V4p,23-V4e,V5477s,V5477d,V5477p,V5477e,S5485s,S5485d,S5485p,S5485e,23-V1Ms,23-V1Md,23-V1Mp,23-V1Me,23-V1Rs,23-V1Rd,23-V1Rp,23-V1Re,L5483s,L5483d,L5483p,23-L1s,23-L1d,23-L1p,23-L1e,L5481s,L5481d,L5481p,L5481e,L5482s,L5482d,L5482p,L5482e,L5484s,L5484d,L5484p,L5484e
HEART,BOUQUET Red 50 cm Roses,2.0,3.0,4.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEART,Purple Scabiosa stems,2.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEART,$88 $103 $123 $153 Purple Snapdragon stems,2.0,2.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEART,Red Sweet William Dianthus,2.0,2.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEART,White Stock stems,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEART,Red LA Hybrid Lily stems,1.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEART,Salal tips,3.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEART,Lily Grass blades,3.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEART,Gunni Eucalyptus stems,1.0,2.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEART,FTD #2120GS (Small Gold-Dipped Vase),1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPELL,BOUQUET Red 50 cm Roses,,,,,2.0,3.0,4.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPELL,Purple Alstroemeria stems,,,,,2.0,3.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPELL,$70 $85 $105 $135 Pale Pink Standard Carnations,,,,,2.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPELL,Red Matsumoto Aster stems,,,,,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPELL,Red Mini Carnation stems,,,,,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPELL,Pink LA Hybrid Lily stems,,,,,1.0,2.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPELL,Salal tips,,,,,3.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPELL,Israeli Ruscus stems,,,,,2.0,3.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPELL,FTD #2120S (Small Cinched Vase),,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPELL,FTD #2120L (Large Cinched Vase),,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STARSTRUCK,BOUQUET Red Mini Carnation stems,,,,,,,,,3.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STARSTRUCK,White Stock stems,,,,,,,,,2.0,3.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STARSTRUCK,$60 $75 $95 $125 Red 50 cm Roses,,,,,,,,,1.0,3.0,6.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STARSTRUCK,Pink LA Hybrid Lily stems,,,,,,,,,1.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STARSTRUCK,Salal tips,,,,,,,,,3.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STARSTRUCK,FTD #2120S (Small Cinched Vase),,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STARSTRUCK,FTD #2120L (Large Cinched Vase),,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVERYTHING,BOUQUET Red 50 cm Roses,,,,,,,,,,,,,2.0,4.0,6.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVERYTHING,Lavender Standard Carnations,,,,,,,,,,,,,2.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVERYTHING,$65 $80 $100 $130 Purple Mini Carnation stems,,,,,,,,,,,,,2.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVERYTHING,Lavender Stock stems,,,,,,,,,,,,,2.0,2.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVERYTHING,Purple Desna Mums,,,,,,,,,,,,,2.0,2.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVERYTHING,Salal tips,,,,,,,,,,,,,3.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVERYTHING,FTD #2120S (Small Cinched Vase),,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVERYTHING,FTD #2120L (Large Cinched Vase),,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEARTSTRINGS,BOUQUET Red Standard Carnations,,,,,,,,,,,,,,,,,3.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEARTSTRINGS,Red Mini Carnation stems,,,,,,,,,,,,,,,,,3.0,3.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEARTSTRINGS,$60 $75 $95 $125 Red 50 cm Roses,,,,,,,,,,,,,,,,,2.0,3.0,6.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEARTSTRINGS,Red Alstroemeria stems,,,,,,,,,,,,,,,,,2.0,3.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEARTSTRINGS,Salal tips,,,,,,,,,,,,,,,,,3.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEARTSTRINGS,Israeli Ruscus stems,,,,,,,,,,,,,,,,,2.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEARTSTRINGS,"8"" Red Glass Vase",,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PICNIC,BASKET Red 50 cm Roses,,,,,,,,,,,,,,,,,,,,,2.0,4.0,6.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
PICNIC,Pale Pink Standard Carnations,,,,,,,,,,,,,,,,,,,,,2.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
PICNIC,$80 $95 $115 $145 Red Mini Carnation stems,,,,,,,,,,,,,,,,,,,,,2.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
PICNIC,Lavender Stock stems,,,,,,,,,,,,,,,,,,,,,2.0,2.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
PICNIC,Hot Pink Gerbera Daisies,,,,,,,,,,,,,,,,,,,,,2.0,2.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
PICNIC,Salal tips,,,,,,,,,,,,,,,,,,,,,6.0,6.0,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
PICNIC,Israeli Ruscus stems,,,,,,,,,,,,,,,,,,,,,2.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
PICNIC,(Medium Oval Woodchip Basket),,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFTER,ROSE BOUQUET Orange 50 cm Roses,,,,,,,,,,,,,,,,,,,,,,,,,4.0,6.0,8.0,12.0,,,,,,,,,,,,,,,,,,,,,,,
AFTER,Hot Pink 50 cm Roses,,,,,,,,,,,,,,,,,,,,,,,,,4.0,6.0,8.0,12.0,,,,,,,,,,,,,,,,,,,,,,,
AFTER,Market Price Red 50 cm Roses,,,,,,,,,,,,,,,,,,,,,,,,,4.0,6.0,8.0,12.0,,,,,,,,,,,,,,,,,,,,,,,
AFTER,Salal tips,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,
AFTER,FTD #2120GS (Small Gold-Dipped Vase),,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
AFTER,FTD #2120GL (Large Gold-Dipped Vase),,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
LOVE,ROSE BOUQUET Red 50 cm Roses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,18.0,24.0,36.0,,,,,,,,,,,,,,,,,,,
LOVE,Salal tips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,5.0,5.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,
LOVE,Market Price FTD #2120GS (Small Gold-Dipped Vase),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
LOVE,FTD #2120GL (Large Gold-Dipped Vase),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
MOON,BOUQUET Pale Pink Button Pompon stems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,3.0,3.0,,,,,,,,,,,,
MOON,Hot Pink 50 cm Roses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,4.0,5.0,,,,,,,,,,,,
MOON,$75 $90 $110 $130 Hot Pink Alstroemeria stems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,4.0,4.0,,,,,,,,,,,,
MOON,Pink Snapdragon stems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,4.0,5.0,,,,,,,,,,,,
MOON,Hot Pink Standard Carnations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,,,,,,,,,,,,
MOON,Pink 50 cm Roses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,3.0,5.0,,,,,,,,,,,,
MOON,Salal tips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,3.0,3.0,,,,,,,,,,,,
MOON,Israeli Ruscus stems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,3.0,3.0,,,,,,,,,,,,
MOON,FTD #2120GS (Small Gold-Dipped Vase),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,
XOXO,BOUQUET Hot Pink 50 cm Roses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,5.0,7.0,10.0,,,,,,,,
XOXO,Lavender Standard Carnations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,4.0,3.0,,,,,,,,
XOXO,$64 $79 $99 $119 Pink Standard Carnations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,4.0,,,,,,,,
XOXO,Hot Pink Standard Carnations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,4.0,7.0,,,,,,,,
XOXO,Salal tips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,3.0,3.0,,,,,,,,
XOXO,Silver dollar Eucalyptus stems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,,,,,,,,
XOXO,Clear Glass Vase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,
BOX,BOUQUET Pale Pink Standard Carnations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,4.0,4.0,,,,
BOX,Hot Pink Mini Carnation stems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,4.0,4.0,,,,
BOX,$65 $80 $100 $130 Pink Stock stems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,4.0,4.0,,,,
BOX,Pale Pink Mini Carnation stems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,4.0,4.0,,,,
BOX,Hot Pink 50 cm Roses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,4.0,10.0,,,,
BOX,Pink LA Hybrid Lily stems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,2.0,2.0,,,,
BOX,Salal tips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,3.0,3.0,,,,
BOX,Israeli Ruscus stems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,4.0,4.0,,,,
BOX,Clear Glass Vase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,
LOVE,BOUQUET Red 50 cm Roses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,5.0,8.0,,,,,,,,,,,,,,,,
LOVE,Red LA Hybrid Lily stems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,4.0,,,,,,,,,,,,,,,,
LOVE,$65 $80 $100 Red Gerbera Daisies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,,,,,,,,,,,,,,,,
LOVE,Israeli Ruscus stems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,4.0,,,,,,,,,,,,,,,,
LOVE,"8"" Red Glass Vase",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,
SHOW,BOUQUET White Cushion Pompon stems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,3.0,3.0
SHOW,White Snapdragon stems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,4.0,4.0
SHOW,$64 $79 $99 $129 Red Alstroemeria stems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,3.0,3.0
SHOW,Red Standard Carnations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,3.0,3.0
SHOW,White 50 cm Roses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,3.0,9.0
SHOW,Red LA Hybrid Lily stems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,3.0,3.0
SHOW,Salal tips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,3.0,3.0
SHOW,"8"" Red Glass Vase",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0
