2023,Featured Product Set Code,Featured Product Set Name,Order Line Group Cnt,Gross Order Line Group Amt,AOV
Florist Delivered,C5375,Light of My Life Bouquet,"14,664","$1,355,082.77 ",$92.41 
Florist Delivered,YPB,You&#39;re Precious Bouquet,"13,849","$1,365,605.29 ",$98.61 
Florist Delivered,V5477,The Heartstrings Bouquet,"11,538","$1,163,643.83 ",$100.85 
Florist Delivered,CGP,Fiesta Bouquet,"9,411","$963,382.79 ",$102.37 
Florist Delivered,B59,Long Stem Red Rose Bouquet,"9,051","$1,340,933.82 ",$148.15 
Florist Delivered,V1R,Classic Love Red Rose Bouquet,"8,627","$1,315,446.51 ",$152.48 
Florist Delivered,BDB,Best Day Bouquet,"7,070","$714,674.21 ",$101.09 
Florist Delivered,CLM,Light of My Life Box Bouquet,"6,475","$554,517.79 ",$85.64 
Florist Delivered,L5483,Burnin Love Bouquet,"6,385","$660,131.48 ",$103.39 
Florist Delivered,23-V3,Casablanca Bouquet,"5,112","$494,626.87 ",$96.76 